seq,ts_ist,topic,agent,detail
263,10:55:58.996,connection.status,connection,upstox CONNECTED
264,10:55:58.996,feed.reconnect,watchdog,feed.reconnect (broker switch → upstox)
286,10:55:59.831,connection.status,connection,upstox None
311,10:56:00.675,connection.status,connection,upstox None
314,10:56:00.872,connection.status,connection,upstox None
320,10:56:00.877,window.rebuilt,strike,NIFTY center 23400 (23 keys)
4346,10:57:00.775,candle.closed,candle,NSE_INDEX|Nifty 50 O23419.8 H23423.9 L23418.6 C23420.3 V382
4347,10:57:00.775,indicators.ready,indicator,rsi 50.0 atr 0.0 vol× 0.0
8295,10:58:00.216,candle.closed,candle,NSE_INDEX|Nifty 50 O23421.3 H23423.3 L23416.5 C23418.2 V365
8296,10:58:00.216,indicators.ready,indicator,rsi 50.0 atr 0.0 vol× 1.0
12263,10:59:00.223,candle.closed,candle,NSE_INDEX|Nifty 50 O23419.7 H23419.7 L23415 C23415.5 V400
12264,10:59:00.223,indicators.ready,indicator,rsi 50.0 atr 0.0 vol× 1.1
16250,11:00:00.220,candle.closed,candle,NSE_INDEX|Nifty 50 O23417.4 H23417.5 L23412.5 C23415.5 V399
16251,11:00:00.220,indicators.ready,indicator,rsi 50.0 atr 0.0 vol× 1.0
17540,11:00:19.341,feed.reconnect,watchdog,feed.reconnect (index switch → BANKNIFTY)
17557,11:00:19.693,connection.status,connection,upstox None
17561,11:00:19.719,window.rebuilt,strike,BANKNIFTY center 56600 (23 keys)
19330,11:00:47.129,feed.reconnect,watchdog,feed.reconnect (index switch → NIFTY)
19335,11:00:47.470,connection.status,connection,upstox None
19339,11:00:47.493,window.rebuilt,strike,NIFTY center 23400 (23 keys)
20197,11:01:00.213,candle.closed,candle,NSE_INDEX|Nifty 50 O23416.2 H23418 L23416.2 C23417 V83
20198,11:01:00.213,indicators.ready,indicator,rsi 50.0 atr 0.0 vol× 0.2
